"Place","District(s)","Pop (cutoff 10k)"
"MUWESHI",5,
"MUWESWA",70,
"MUWEZWA",57,
"MUWIKA",68,
"MUWILA","1;71",
"MUWINA",69,
"MUWIZE",24,
"MUWONDA",18,
"MUWULOLA",3,
"MUYAINKILA",57,
"MUYALUKA","69;70",
"MUYANGA MPWAYA",32,
"MUYANGWA","68;69",
"MUYANI",67,
"MUYANJE",3,
"MUYANO",66,
"MUYANWA",72,
"MUYAPEKWA",71,
"MUYASANSONGA",58,
"MUYATWA","68;70;71;72",
"MUYAULE",64,
"MUYAULI",64,
"MUYAWALA",6,
"MUYAYA",67,
"MUYEBA","66;67",
"MUYEKE",66,
"MUYELEKA",43,
"MUYELU",68,
"MUYEMBA",5,
"MUYEMBE","6;54",
"MUYENGA","66;69;71",
"MUYENGO",68,
"MUYETA",48,
"MUYETEKA",38,
"MUYEYISEYI",71,
"MUYIMBWE",40,
"MUYINDA","52;54",
"MUYOBA",71,
"MUYOMBE",38,
"MUYOMBO","68;71",
"MUYONA",5,
"MUYOYA",67,
"MUYOYETA",70,
"MUYOYO",66,
"MUYOYU",54,
"MUYUBAYUBI",69,
"MUYUKUMO",68,
"MUYUMBANA","66;70",
"MUYUNDA","69;71",
"MUYUNDANALWENDO",66,
"MUYUNDEKWA",70,
"MUYUNDU",68,
"MUYUNGA",69,
"MUYUNGWA",66,
"MUYUPI",67,
"MUZA",55,
"MUZABWE",59,
"MUZALA",58,
"MUZANDU",62,
"MUZANGUMUNA",68,
"MUZAVWISHI",52,
"MUZAZA","54;71",
"MUZEBE",66,
"MUZENGAKAYA",47,
"MUZENGAMI",67,
"MUZEYA",52,
"MUZEZE",68,
"MUZIBA",69,
"MUZIKANU",68,
"MUZILA",66,
"MUZILWA",67,
"MUZIZI",45,
"MUZOKA",55,
"MUZOMBE",46,
"MUZUMA",71,
"MUZUMI",71,
"MUZUNGU","52;71;72",
"MUZUNI",5,
"MVEKANI",20,
"MVULA",7,
"MVUMBI",19,
"MVUMBO",38,
"MVUTI",32,
"MW'LIALABI",3,
"MWABINGA",72,
"MWABU",25,
"MWACHALO",23,
"MWACHILENGA",1,
"MWACHIMANI",1,
"MWACHISOMPOLA",1,
"MWAFI",40,
"MWAHONO",70,
"MWAIBA",68,
"MWAISHA",40,
"MWAJIAGA",32,
"MWAJIMVITA",53,
"MWAKA",47,
"MWAKALASA",1,
"MWAKANA",18,
"MWAKOI","66;71",
"MWALA","32;66;67;70;72",
"MWALAMUSHIKO",69,
"MWALE",53,
"MWALELA",47,
"MWALIBONENA",60,
"MWALIE","66;68",
"MWALILANDA",1,
"MWALUBU",13,
"MWALUKIRA",24,
"MWALULA",40,
"MWALULELE",37,
"MWALYALABI",3,
"MWAMA",53,
"MWAMADI",21,
"MWAMBA",24,
"MWAMBALILA",3,
"MWAMBAYI",46,
"MWAMBI",68,
"MWAMBILA",67,
"MWAMBOSHI",68,
"MWAMBULA","23;24;32",
"MWAMBWA","68;71",
"MWAMBWANALWENDO",66,
"MWAMFULI",31,
"MWAMILAMBA",4,
"MWAMO",72,
"MWAMULANDO",3,
"MWAMUTABE",1,
"MWAN'OTA",71,
"MWANA MWALIE MATENGU",70,
"MWANA-MWATA",40,
"MWANABANDUWE",71,
"MWANABOYI",42,
"MWANABUNGA",1,
"MWANACHANGA",56,
"MWANACHILENGA",3,
"MWANACHIMA",3,
"MWANACHINGWALA",61,
"MWANACHINUNGWE",71,
"MWANACHISAKA",1,
"MWANACHISALU",57,
"MWANACHIYA",42,
"MWANACHIYABA",3,
"MWANACHIYANDA",5,
"MWANACHUNGA",1,
"MWANAKABWATA",1,
"MWANAKALONGA",54,
"MWANAKAMBWA",57,
"MWANAKAPOTWE",5,
"MWANAKASUWA",71,
"MWANAKATIMBE",3,
"MWANAKATWE",42,
"MWANAKIFUMO",32,
"MWANAKONSE",13,
"MWANAKOTA",66,
"MWANAKOTWE",39,
"MWANAKWANAULA",3,
"MWANALEMBA",24,
"MWANALIONGOLA",71,
"MWANALIONGOLO",71,
"MWANALUBINGA",1,
"MWANALUSHI",70,
"MWANAMAA",66,
"MWANAMAKWA",71,
"MWANAMAMBO","62;66;71",
"MWANAMANO",72,
"MWANAMBEZUMA",47,
"MWANAMBUYU","67;68",
"MWANAMENA",70,
"MWANAMOMBA",23,
"MWANAMPENGU",71,
"MWANAMPILA",1,
"MWANAMPUMBE",1,
"MWANAMUCHOCHOMA",1,
"MWANAMUKUMBI",66,
"MWANAMULAMBO",1,
"MWANAMUNGELA",66,
"MWANAMUSHINSO",36,
"MWANAMUTE",67,
"MWANAMUWESHI","3;5",
"MWANAMUYAMBA",1,
"MWANAMWALE","63;71",
"MWANAMWALIE","66;71",
"MWANAMWALIE INDUNA",70,
"MWANAMWALU",65,
"MWANAMWAMBO",71,
"MWANAMWELA",69,
"MWANAMWELE",63,
"MWANAMWESHI","5;26",
"MWANAMYANDA",66,
"MWANANAWA",66,
"MWANANGOMBE",71,
"MWANANGONA",69,
"MWANANGUMUNE",69,
"MWANANI",67,
"MWANANJA",71,
"MWANANKOLE",55,
"MWANANOMBWE",47,
"MWANANYANDA","66;70",
"MWANANYUNDO","5;66",
"MWANANZOVU",47,
"MWANAOTA",71,
"MWANAPENZA",57,
"MWANASAKOMBE",31,
"MWANASHALULWE",5,
"MWANASHANYUMBA",3,
"MWANASHIPOPA",57,
"MWANASIFI",70,
"MWANASIKATONDO",71,
"MWANASITI",71,
"MWANASITUTU",66,
"MWANATETE KUTA",67,
"MWANAUMO","67;68",
"MWANAUTA","49;54",
"MWANAUTI","52;53",
"MWANAYALABI",3,
"MWANDA","43;66;67;68",
"MWANDABALA",5,
"MWANDALUMA",1,
"MWANDAMA",53,
"MWANDAUKA",19,
"MWANDE",37,
"MWANDELU",12,
"MWANDI",66,
"MWANDI KUTA","68;71",
"MWANDO",22,
"MWANDO CHIPEWA",6,
"MWANDU",6,
"MWANDU ELIYA",6,
"MWANDUWA",32,
"MWANDWE",68,
"MWANEKABO",57,
"MWANGALA","17;67;70",
"MWANGALALA","43;67",
"MWANGANA",70,
"MWANGATA",46,
"MWANGE",71,
"MWANGILILA",43,
"MWANGU","68;70",
"MWANGULA",70,
"MWANIKA",24,
"MWANINA",68,
"MWANINO",67,
"MWANJA",71,
"MWANJAWANTU",24,
"MWANJAWIRA",18,
"MWANJE",18,
"MWANKUWA",1,
"MWANOATA",71,
"MWANOMEI",71,
"MWANOOTA",71,
"MWANSA","31;40",
"MWANSA-NSUNDO",37,
"MWANSAKOMBE",31,
"MWANSHI NGOSA",3,
"MWANSULAMA",38,
"MWANTENJE",23,
"MWANWA",71,
"MWANYA",21,
"MWANYANJI",39,
"MWANZA","22;24;32;53;62;71",
"MWANZACHIBANZA",52,
"MWAPE",23,
"MWAPE CHIPUTI",31,
"MWAPE CHISANSA",6,
"MWAPE KATONDO",6,
"MWAPE MAPULANGA",6,
"MWAPE MBUSHA",6,
"MWAPE MUKONSO",6,
"MWAPI MUTAMUNA",6,
"MWASAMAMBA",43,
"MWASAMU",52,
"MWASE","21;24",
"MWASE LUNDAZI",21,
"MWASE MPANGWE",21,
"MWASENGA",38,
"MWASHILINDA",18,
"MWATA",21,
"MWATIPA",25,
"MWATISHI SCHOOL",30,
"MWAULA",67,
"MWAULIKA",24,
"MWAULUKA",70,
"MWAVI",34,
"MWAYANGUBA",69,
"MWAYIBA",66,
"MWAYILA",54,
"MWEBO",58,
"MWEEKE",69,
"MWEELE",59,
"MWEKE",69,
"MWELA",45,
"MWELALO",43,
"MWELAMPANDE",39,
"MWELE",40,
"MWELEMBA",21,
"MWELEMU",53,
"MWELUSHI",12,
"MWELWA CHIBEBEBE",6,
"MWEMA NYALA",13,
"MWEMBA","1;5;64;65;70",
"MWEMBE",42,
"MWEMBESHI","33;35",
"MWEMBO",38,
"MWEMBWE",67,
"MWEMPE",55,
"MWENA","31;38",
"MWENBA",64,
"MWENDA","5;24;54;61;66;68;70",
"MWENDABAI","69;70",
"MWENDANI",70,
"MWENDAZILA",66,
"MWENDIANA",66,
"MWENE CHILESHE",42,
"MWENE MUTONDO",67,
"MWENE-MUTONDE",67,
"MWENECHIENGELA",69,
"MWENECHILUNGU",69,
"MWENEKA",4,
"MWENEKALUNGA",66,
"MWENEKANDALA",69,
"MWENEMATU",54,
"MWENEMAULI",69,
"MWENEMILUMBU",69,
"MWENEMUNDU",66,
"MWENEMUNGOMBA",69,
"MWENENDUMBA",69,
"MWENENYATI",68,
"MWENESIENGELE",69,
"MWENEVUVU",71,
"MWENGA",37,
"MWENGE",43,
"MWENGU",55,
"MWENI CHIFUNGWE",38,
"MWENI MALAMBO",38,
"MWENICHUMBA",38,
"MWENICHUWE",38,
"MWENIKAMBANGWA",38,
"MWENIKAPANSA",38,
"MWENILEZI",45,
"MWENIYIMBA",38,
"MWENJE",23,
"MWENSE",29,
"MWENSHANGOMBE",32,
"MWENYEKA",66,
"MWENYI",42,
"MWENZO MISSION",47,
"MWEPU","5;53",
"MWERA",65,
"MWESHI",29,
"MWETELA",3,
"MWEWA",31,
"MWEZI",71,
"MWIATWA",71,
"MWIBA","70;71",
"MWIBAWA","66;70",
"MWIBO",71,
"MWIKA",37,
"MWIKAYOYA",3,
"MWIKISA","68;71;72",
"MWIKUMA",12,
"MWIKWANDAULA",3,
"MWILA","18;54;67",
"MWILWA",38,
"MWILYE",13,
"MWIMBA","18;21;38",
"MWIMBI",66,
"MWINAMO",59,
"MWINBUTALA",71,
"MWINDA",69,
"MWINDAMOYO",72,
"MWINDILA",59,
"MWINDISHA",67,
"MWINECHINJI",37,
"MWINECHIPETA",18,
"MWINGANA",66,
"MWINGUBA",3,
"MWINI",66,
"MWINI KUYA",38,
"MWINI LUNGA",38,
"MWINI MIRONGO",38,
"MWINIKILA",70,
"MWINIMKONDE",18,
"MWINIMPANGALA",38,
"MWINIMUTONDO",18,
"MWININYILAMBA",52,
"MWINIPANGALA",38,
"MWINIWISI",38,
"MWINKALOMBI",52,
"MWINUAMA",3,
"MWINUMA",14,
"MWINUNA",5,
"MWINYIKA",52,
"MWIOBA",32,
"MWIRI",33,
"MWISHIKI CHABALA",6,
"MWISHIMBA",71,
"MWISI",38,
"MWISIYA",70,
"MWITA",67,
"MWITASENGA",38,
"MWITE ELA",69,
"MWITUMWA",69,
"MWIYA","38;66;69;70;71;72",
"MWIYA SIWELEWELE",72,
"MWIYA WA MWALIYE",72,
"MWIYAKWINDA",70,
"MWIYALUKA",70,
"MWIYANA",70,
"MWIZARA",22,
"MWOMBOSHI",1,
"MWONDELA",54,
"MWONGO",5,
"MWONO",54,
"MWUOLA",33,
"MYALA",47,
"MYANDA",72,
"MYEBA",65,
"MYEMBE",22,
"MYOOYE",5,
"MYOTA",1,
"MYOWA",38,
"MYUNGWE",38,
"MZAMA",19,
"MZANGWA",38,
"MZAPAWI",19,
"MZENJE","23;24",
"MZEWE",17,
"MZIMBA",21,
"MZOMU",21,
"MZOMWA",24,
"MZOOLE",19,
"MZUMBWA",24,
"MZUMWA",24,
"MZUNGUNIKA",21,
"N'KAKA",23,
"N'KAKILWA",32,
"NA AKIM",6,
"NABANKAM",6,
"NABOLE",39,
"NABULWE","3;5",
"NABWALE",6,
"NABWALYA",43,
"NACEMENTE BWALE",6,
"NACHA TIOKA",6,
"NACHAMANGWA",6,
"NACHIBANGA",55,
"NACHIBESA",6,
"NACHIBONA",72,
"NACHIKWETE",6,
"NACHILULU",47,
"NACHILUME",71,
"NACHINSE",45,
"NACHIPETA",47,
"NACHISULU",6,
"NACHITONGE",46,
"NACHIWALE",6,
"NACHIWELE",6,
"NACHOLOLA",69,
"NACHOMBA",40,
"NACHONDWE",55,
"NACHULU",6,
"NADONGO",62,
"NADOROBA",6,
"NAESAYA",6,
"NAFULWE",57,
"NAHONGO",69,
"NAI ESAIA",6,
"NAIFI",6,
"NAIMBA",71,
"NAIMBIKA",22,
"NAISHEBO",68,
"NAKA",66,
"NAKABANGA",58,
"NAKAKENA",66,
"NAKAKOLA",47,
"NAKALUNDU",71,
"NAKAMBALA",61,
"NAKAMBANJA",63,
"NAKAMBOMA",63,
"NAKANDA",59,
"NAKANDIANA",69,
"NAKANGA",61,
"NAKAPAPA",6,
"NAKAPILA",6,
"NAKASHUWA",71,
"NAKATAMBO",43,
"NAKATENDO",42,
"NAKATENGE",66,
"NAKATINDI",7,
"NAKATO",69,
"NAKATOIA",72,
"NAKATONTOKA",6,
"NAKATUTA",6,
"NAKAYANGWE",71,
"NAKETE",43,
"NAKOLI",2,
"NAKONDE",47,
"NAKONJEA",58,
"NAKOSA",6,
"NAKULA BWALYA",41,
"NAKWANZA",63,
"NAKWASSA",6,
"NAKWESA",61,
"NALANDANI",6,
"NALIELE",67,
"NALIKWANDA",69,
"NALILUBA",55,
"NALILUNGWE",66,
"NALIMANJI",47,
"NALINOWE",69,
"NALISA",71,
"NALISE",71,
"NALISHEBO","66;70;72",
"NALISHEVO",72,
"NALISHUWA",71,
"NALIUNI",6,
"NALOLO",70,
"NALONGE",70,
"NALONGO","6;70",
"NALOPU",69,
"NALU",55,
"NALUAMA",61,
"NALUBAMBA",63,
"NALUBANJI",62,
"NALUBE",72,
"NALUBENI",6,
"NALUBI",6,
"NALUBUTU",69,
"NALUCHELE",63,
"NALUKALE",63,
"NALUKOMBO",63,
"NALUKUI",70,
"NALUMANGO",69,
"NALUMBA",61,
"NALUMBE",61,
"NALUMINO","66;69;70",
"NALUMPA",63,
"NALUNGWANA","59;66;72",
"NALUSA",69,
"NALUSANGA",5,
"NALUSHILI",6,
"NALUSINGA",69,
"NALUTANA",70,
"NALUTETE",38,
"NALWENDO",66,
"NAMA",49,
"NAMABANDA",69,
"NAMABEZHI",5,
"NAMABUNGA","70;72",
"NAMACHILA",62,
"NAMADULA",59,
"NAMAENYA KUTA",69,
"NAMAFE",68,
"NAMAILO",6,
"NAMAJILA",55,
"NAMAKAMBO",67,
"NAMAKANDE",56,
"NAMAKANDO",66,
"NAMAKAU",66,
"NAMAKAYA",66,
"NAMAKOMBO",69,
"NAMALIA",6,
"NAMALIKO",6,
"NAMALINDI",62,
"NAMALOMBA",43,
"NAMALONGA",58,
"NAMALUBA","6;61",
"NAMAMBO",70,
"NAMAMBWE KANDU",6,
"NAMANGA",70,
"NAMANGOLWA",66,
"NAMANGU",71,
"NAMANJA",6,
"NAMANJONGO",71,
"NAMANSA",40,
"NAMANTEMBA",42,
"NAMANYANE",69,
"NAMANYELA",72,
"NAMANYESI",70,
"NAMANYEVU",71,
"NAMANZA",71,
"NAMARAMBU",62,
"NAMASHOVA",55,
"NAMASIKU","66;70;71",
"NAMASUPELI",6,
"NAMATA",38,
"NAMATAA","66;68",
"NAMATAMA",60,
"NAMATAMBO",70,
"NAMATANDA",69,
"NAMATE","66;72",
"NAMATEMBA",62,
"NAMAULO",20,
"NAMAULUNGU",70,
"NAMAUNDU",57,
"NAMAWA",66,
"NAMAYANI",57,
"NAMAYONGA",71,
"NAMAYULA",70,
"NAMAZINGU LUMINO",71,
"NAMAZOKA",71,
"NAMBA",69,
"NAMBALA",66,
"NAMBALA MISSION",5,
"NAMBANDA",69,
"NAMBAYO","66;70",
"NAMBAZA",71,
"NAMBOO",72,
"NAMBULA","68;69;72",
"NAMBUNDA",66,
"NAMBUTI",4,
"NAMBWELE",64,
"NAMBWENGO",69,
"NAMEBO",72,
"NAMELA",70,
"NAMELEKI",6,
"NAMELIKA",6,
"NAMEMBO",61,
"NAMENA",71,
"NAMENDA",66,
"NAMENGA",69,
"NAMILUKO",69,
"NAMIMBWE",67,
"NAMINDI",71,
"NAMISELO",6,
"NAMITAMBO",66,
"NAMITONDO",66,
"NAMIYOWA",33,
"NAMOKO",69,
"NAMOKULA",6,
"NAMONGA",71,
"NAMONO",23,
"NAMOSA SCHOOL",69,
"NAMOTA",38,
"NAMOWA",62,
"NAMPANDE",46,
"NAMPUNDWI",6,
"NAMUCHANA","66;70",
"NAMUCHESWA",56,
"NAMUGWENDA",55,
"NAMUKA KATUSI",69,
"NAMUKAMBA","62;65",
"NAMUKONDA",46,
"NAMUKONDE",72,
"NAMUKONDE WAMIKUWA",46,
"NAMUKUKA",69,
"NAMUKUMBO",5,
"NAMUKUNGULU",56,
"NAMULIMBWA",66,
"NAMULOMBWE",69,
"NAMULUNDU",40,
"NAMULYONTO",57,
"NAMUMPU",6,
"NAMUNDA",69,
"NAMUNGWA",66,
"NAMUNJI",71,
"NAMUONO",66,
"NAMUSAMBILA",4,
"NAMUSHAKENDE",69,
"NAMUSHALILA",6,
"NAMUSHASAL",6,
"NAMUSHI","66;70;71",
"NAMUSHI WA NGONDE",66,
"NAMUSULWA",43,
"NAMUSWA",55,
"NAMUTANJA",71,
"NAMUTOYA",6,
"NAMUTULO",69,
"NAMUTWI",69,
"NAMUYAMBA",66,
"NAMUYOWA",69,
"NAMWA SEKELETI",6,
"NAMWABA",55,
"NAMWALA",63,
"NAMWANYI",66,
"NAMWAPE",6,
"NAMWAPE NJONI",6,
"NAMWELWA YOTAM",6,
"NAMWENDWA",70,
"NAMWIANGA",58,
"NAMWINGA",71,
"NAMWINJI","66;68",
"NAMYAMBA",66,
"NAMZUNGA","21;22",
"NANDA",66,
"NANDOLESHA",6,
"NANDOPO",68,
"NANDOPU",68,
"NANGABATA",71,
"NANGAMBA",65,
"NANGANA",71,
"NANGILI",69,
"NANGO",18,
"NANGOMA",70,
"NANGOMBE",71,
"NANGULIVE",69,
"NANGULWA",57,
"NANGULWE NOTULU",69,
"NANGUNDA",69,
"NANGWESHI",72,
"NANIKELAKO",69,
"NANIMWENE",71,
"NANJO",18,
"NANJUNA",57,
"NANKUTU",44,
"NANOKO",69,
"NANOKO KUTA",69,
"NANSALA","6;38",
"NANSANZU",60,
"NANSENGA",57,
"NANSOLO",21,
"NANYA",18,
"NANYAMA",71,
"NANYENZO",70,
"NANYUNDO","51;67",
"NANZHILA",57,
"NANZILA KABUKU",66,
"NAPHILIPO",6,
"NAPITA",6,
"NAPOLEO MAMBWE",6,
"NAPONGA",6,
"NASAIONI",6,
"NASANDE",6,
"NASANDO",71,
"NASEGWA",61,
"NASHON JIM CHILUFIYA",6,
"NASHONGO",64,
"NASHONI CHIKWABA",6,
"NASHORO",43,
"NASIKELO",6,
"NASILELE","59;66;68",
"NASIMONA",71,
"NASIONGO",72,
"NASISHEMO",67,
"NASIU",66,
"NASUMPA",55,
"NASYONGO",64,
"NATA",6,
"NATAMOYO",70,
"NATAN",20,
"NATAN KALUNGA",6,
"NATANI",24,
"NATANI KACHEPA",6,
"NATENDI",25,
"NATHAN",38,
"NATHAN CHANDA",6,
"NATHAN MUMBA",4,
"NATIELE",67,
"NAVIRULI",17,
"NAWA","66;67",
"NAWALA",70,
"NAWASILUNDU",69,
"NAWATUMBI",71,
"NAWAYA",72,
"NAWIKO",66,
"NAWINA",69,
"NAWINDA KUTA",71,
"NAYOYA",70,
"NAYUMBA",43,
"NAYUMBU",70,
"NAZELE",61,
"NCHANGA",8,
"NCHEFU",24,
"NCHELENJE",42,
"NCHEMA",1,
"NCHILINGA",43,
"NCHIMISHI",6,
"NCHINDO",71,
"NCHINGE",42,
"NCHINKE",12,
"NCHINKWO",34,
"NCHISYA",24,
"NCHOFU",24,
"NCHOPU",24,
"NDABALA",6,
"NDAKE",23,
"NDALAMA",37,
"NDAMBI",66,
"NDAMBO","20;69",
"NDAMBULA","66;67;69",
"NDAMKANI",19,
"NDANDA",69,
"NDANDAMANI",24,
"NDANDANGA",67,
"NDANDULA",70,
"NDANGALAZANA",59,
"NDASA",46,
"NDAUPALA",6,
"NDEHO",68,
"NDEKA CHISENGA",6,
"NDEKE",10,
"NDEKETYA",24,
"NDEKWA",38,
"NDELEMANI",22,
"NDELUMUNA",72,
"NDELWA",66,
"NDEMA",71,
"NDEMBA","66;69",
"NDEMBELA","21;38",
"NDEMBELE",66,
"NDEMBO",24,
"NDENDA",54,
"NDENDEKA",67,
"NDENDI",19,
"NDENGEZA",65,
"NDENGULU",67,
"NDEPELWA",38,
"NDERIMANI",22,
"NDEVU",23,
"NDEWA",6,
"NDEWE",24,
"NDIMBA",66,
"NDIO",20,
"NDIYO",70,
"NDOBA",31,
"NDOLOCHI",39,
"NDOMBE",24,
"NDOMBI",24,
"NDOMBO","43;69",
"NDONGWE",67,
"NDONYO",67,
"NDOPU",32,
"NDOTA",47,
"NDOZI",68,
"NDUBA",70,
"NDUBENI",14,
"NDUI",71,
"NDULI",68,
"NDUMBA","48;54;67;68;72",
"NDUMBAKAHEHU",52,
"NDUMBAKASHIMBI",52,
"NDUMO",72,
"NDUNDU",68,
"NDUNGA",21,
"NDUNGU",54,
"NDUSA",21,
"NDUWA",38,
"NDUYE",70,
"NEGA NEGA",61,
"NEGA NEGAT HONITAN",61,
"NELOMWE",69,
"NELOYA",66,
"NELSON CHIBUYE",6,
"NELSON KUNDA",6,
"NELSONI",22,
"NEMANO",24,
"NENGO",70,
"NEOJONGO",70,
"NETA","66;70",
"NEUWA",66,
"NEYWA",70,
"NFELE WITA",24,
"NG'ANGU",71,
"NGABANENI",3,
"NGABO",63,
"NGABWE",3,
"NGAJI",54,
"NGALANDE",17,
"NGAMBA",66,
"NGAMBEKA",66,
"NGAMBELA","51;54;67",
"NGAMBO",50,
"NGANDA",3,
"NGANDALO",67,
"NGANDU","54;67",
"NGANGA","18;69;70;72",
"NGANGULA","56;67;70;71",
"NGANJA",18,
"NGANJO",18,
"NGANSWA",6,
"NGAPO",19,
"NGAWA",32,
"NGAZIMA",70,
"NGEBE","7;11",
"NGELA",66,
"NGELENGE",66,
"NGENDA","68;69;70",
"NGENJO","66;72",
"NGIMBU","67;68",
"NGINDA",67,
"NGIZA",48,
"NGO",71,
"NGOBOLA",1,
"NGOLIKA",32,
"NGOLO",40,
"NGOLOFWANA",3,
"NGOLOLU",17,
"NGOLONGONJO",67,
"NGOMA","39;54;57;67;69",
"NGOMA KUTA",71,
"NGOMBA","66;68;71",
"NGOMBE","19;22;43",
"NGOMBEMONGO",69,
"NGOMBO",66,
"NGOMBOLA",67,
"NGOMI",54,
"NGONA",24,
"NGONDA",69,
"NGONDE",69,
"NGONGO","37;71",
"NGONGOLA","54;66;67;69",
"NGONI",19,
"NGONTO",71,
"NGORSALULAMBA",6,
"NGOSA","4;40",
"NGOSA FARM",53,
"NGOSA KONI",4,
"NGOSA MUCHINKA",6,
"NGOWANE KUNDA",6,
"NGOYI",13,
"NGOZI","19;23;24",
"NGUBUDU",19,
"NGUBULU","67;68",
"NGULU","48;68;69;70",
"NGULUBE","6;67",
"NGULUKA",32,
"NGULUWE","19;24",
"NGULWANA","68;72",
"NGUMBE",20,
"NGUMBI",70,
"NGUMBWE","67;70",
"NGUNDA",54,
"NGUNDU",69,
"NGUNGA",66,
"NGUNGU",2,
"NGUNGULA",71,
"NGUNI",66,
"NGUVU","48;67;68;70",
"NGUVULU",54,
"NGUYA",66,
"NGWALAMAMBI",24,
"NGWALUNGWALU",67,
"NGWANTA",21,
"NGWATA",19,
"NGWENA","3;68",
"NGWERERE","32;35",
"NGWERU",68,
"NGWESHE",53,
"NGWESHI","9;68",
"NGWEZE",71,
"NIJARATENGA",17,
"NIKISI",59,
"NIMONI",19,
"NIOMAH",61,
"NITANDE CHITONGO",42,
"NJAALI",2,
"NJABALOMBE",58,
"NJALA",19,
"NJALAKUNJILA",17,
"NJALUKA",40,
"NJAMBA","48;49;67;70;71",
"NJAMBE","66;69",
"NJAMI",64,
"NJANJIMBA",54,
"NJARANIKA",19,
"NJATI",24,
"NJAYA",66,
"NJEBE",55,
"NJEJEMA",67,
"NJEKE",41,
"NJEKWA","54;68;69",
"NJELESI",42,
"NJENI MAMBWE",6,
"NJENJA",71,
"NJENJEMA",67,
"NJERENJE",32,
"NJEYENGO",66,
"NJOBWA",71,
"NJOKA","21;24",
"NJOKO","40;71",
"NJOLOMBA","54;67",
"NJOMBI",54,
"NJOMBWA",19,
"NJONGOLO","54;67;68",
"NJONI KAPEMA",6,
"NJONI LUAMBISHA",6,
"NJONJOLO",68,
"NJORO",19,
"NJOWE",64,
"NJUGA",20,
"NJUNGA",66,
"NJUNGOLO",67,
"NJUNGU",68,
"NKABILA",1,
"NKALA","21;38;68",
"NKALABANDA",67,
"NKALAKWE",21,
"NKALAWIKA",21,
"NKAMBA",66,
"NKAMBA LODGE",45,
"NKAMBO",3,
"NKAMESHYA",1,
"NKANA",10,
"NKANDABWE",65,
"NKANDE",19,
"NKANGA",53,
"NKANGWA",24,
"NKANJAVIKA",67,
"NKANKA",18,
"NKAPATO",16,
"NKHALA",19,
"NKHANI",17,
"NKHOLOWONDO",24,
"NKHOPE",20,
"NKHOWE","20;24",
"NKHUNTHA","23;24",
"NKOBOLA",59,
"NKOKOMOSHI",42,
"NKOLE","3;40",
"NKOLEMFUMU",40,
"NKOLOMA","1;11;32;35",
"NKOLOWONDO","19;24",
"NKOMASHE",6,
"NKOMBA","52;66;67",
"NKOMBALUME",3,
"NKOMBWE",1,
"NKOMENA",46,
"NKOMESHA","1;5;6",
"NKOMESHYA","6;32",
"NKOMPONI",59,
"NKONDE",13,
"NKONDUKOYU",13,
"NKONESHA",5,
"NKONGA",69,
"NKONGE",67,
"NKONKELA",40,
"NKONKOLA",13,
"NKONYANGA",67,
"NKONYE",42,
"NKONZI",24,
"NKOSHA",39,
"NKOSHYA",39,
"NKOTA",24,
"NKOTWA",44,
"NKOTWE",24,
"NKOWE",24,
"NKULA",37,
"NKULAKIA",4,
"NKULASHI",67,
"NKULO",68,
"NKULUKUSA",3,
"NKULUMASHIMBA",11,
"NKULWASHI",49,
"NKUMBA","22;51;67",
"NKUMBE",72,
"NKUMBULA",13,
"NKUMBWA",66,
"NKUMESHA",13,
"NKUNDUWAVU",19,
"NKUNDYE",24,
"NKUNGULU",67,
"NKUNKULUSHA",40,
"NKUNTA",6,
"NKUNTWA",19,
"NKUWA",1,
"NKWANGA",1,
"NKWASA",69,
"NKWAZI",16,
"NKWEMBA",1,
"NKWENZE",24,
"NKWETO",37,
"NOAH","6;42",
"NOAH KASTILA",6,
"NOAH NSAKALULA",6,
"NOAH SIAME",47,
"NOAKE",23,
"NOANGA",66,
"NOBUTU",66,
"NOMAI",69,
"NOMANSA",40,
"NOMBWE",47,
"NOMWANA",53,
"NONDE",43,
"NONDO",42,
"NONGLUBE",71,
"NONGOLA",66,
"NONGONGA",67,
"NOSIKU",72,
"NOYOO",68,
"NSADZU",17,
"NSAIKA",23,
"NSAKALUBA MISSION",29,
"NSAKANYA",27,
"NSAMA",39,
"NSAMBA","22;31",
"NSANDO",40,
"NSANGU",45,
"NSANIKO",47,
"NSANKULA",43,
"NSANSA",8,
"NSEFU",22,
"NSELUKA",46,
"NSEMUCHILA",31,
"NSENGA","19;44",
"NSEPE",12,
"NSHIKA",42,
"NSHILA",6,
"NSHIMBA","30;36;67",
"NSHINDANO",45,
"NSIMBA",71,
"NSIMBO",71,
"NSINDAMA",18,
"NSINGKANGA",35,
"NSOCHI",38,
"NSOKOLO",42,
"NSOKOSHO",57,
"NSOMAULWA",6,
"NSOMBEZI",47,
"NSOMBO",41,
"NSOMOCHILA",5,
"NSULUKA",37,
"NSUNGA","6;22",
"NSUNGU",37,
"NSUPILA",45,
"NSWANA",3,
"NTABO",51,
"NTAFINDILA",47,
"NTALASHA",3,
"NTALASHYA",3,
"NTALAZYA",22,
"NTALUSHYA",1,
"NTAMBA",6,
"NTAMBALA",39,
"NTAMBALE",64,
"NTAMBAZINA",19,
"NTAMBE",45,
"NTAMBO",24,
"NTAMBO-SACHITALA",52,
"NTAMBU",52,
"NTAMBU MISSION",52,
"NTANDE",24,
"NTAPWA",14,
"NTATUMBILA",47,
"NTATUSHA",1,
"NTAVU",47,
